0.05;0.001641321091248149
0.06;0.002839674115347912
0.07;0.004513538588479582
0.08;0.006741761812444125
0.09;0.009602367441512105
0.1;0.013172241678896413
0.11;0.01752679734509255
0.12;0.02273961538405156
0.13;0.02888206350056932
0.14;0.03602289177511331
0.15;0.04422780528370396
0.16;0.05355901396367213
0.17;0.06407476021468006
0.18;0.07582882501204113
0.19;0.08887001364004732
0.2;0.10324162253072999
0.21;0.11898088912248017
0.22;0.136118427137355
0.23;0.15467765021986724
0.24;0.1746741874875276
0.25;0.19611529521795934
0.26;0.2189992696421239
0.27;0.24331486663035673
0.28;0.2690407349487508
0.29;0.29614487072773943
0.3;0.32458410182048114
0.31;0.3543036118314151
0.32;0.38523651475774956
0.33;0.4173034923976213
0.34;0.45041250792260756
0.35;0.4844586102681797
0.36;0.5193238452359881
0.37;0.5548772903912256
0.38;0.5909752319324395
0.39;0.6274615026551049
0.4;0.6641680008572945
0.41;0.7009154104654565
0.42;0.7375141426953762
0.43;0.7737655190962103
0.44;0.809463214725261
0.45;0.8443949783213225
